,CMPNM_NM,JJINHBT_SALES_PRICE_RATE,OTSD_SALES_PRICE_RATE,ALL_SALES_PRICE_RATE,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM
14347,팽트리힐,0.41333333333333333,0.02,0.043333333333333335,제주시,애월읍,애월읍,한식,단품요리 전문
14348,퍼드림식당,0.785,0.0033333333333333335,0.05333333333333334,서귀포시,동홍동,서귀포시 동지역,한식,가정식
14349,퍼블리코제이제이홀덤펍,0.0,0.0,0.0,서귀포시,대천동,서귀포시 동지역,한식,단품요리 전문
14350,퍼블릭467,0.075,0.16166666666666665,0.16333333333333333,서귀포시,성산읍,성산읍,한식,가정식
14351,퍼블릭하우스빈스,0.14666666666666667,0.0,0.008333333333333333,제주시,노형동,제주시 동지역,한식,단품요리 전문
14352,퍼스트,1.9939999999999998,0.052000000000000005,0.174,제주시,연동,제주시 동지역,한식,단품요리 전문
14353,퍼스트스퀘어,0.07666666666666667,0.0,0.005,서귀포시,서홍동,서귀포시 동지역,한식,단품요리 전문
14354,퍼시몬,0.36833333333333335,0.049999999999999996,0.07166666666666667,제주시,애월읍,애월읍,한식,단품요리 전문
14355,퍼플비,0.008333333333333333,0.0,0.0,제주시,애월읍,애월읍,한식,단품요리 전문
14356,퍼플피기,0.04,0.0,0.0016666666666666668,서귀포시,서홍동,서귀포시 동지역,한식,단품요리 전문
14357,펄랑,0.12833333333333333,0.013333333333333334,0.021666666666666667,제주시,한림읍,한림읍,한식,단품요리 전문
14358,펍아지트,0.01,0.011666666666666667,0.011666666666666667,제주시,조천읍,조천읍,한식,단품요리 전문
14359,페를로,1.6466666666666667,0.2683333333333333,0.36000000000000004,서귀포시,안덕면,안덕면,양식,양식
